pais,mes,tipo_asignacion,estado,servicios,expedientes
Argentina,2023-05,SIN_TIPO,CANCELADA,4,2
Argentina,2023-06,MANUAL,CANCELADA,1,1
Argentina,2023-06,MANUAL,CONCLUIDA,1,1
Argentina,2023-06,SIN_TIPO,CANCELADA,19,11
Argentina,2023-07,ANCLAJE,CANCELADA,3,2
Argentina,2023-07,ANCLAJE,CONCLUIDA,5,4
Argentina,2023-07,MANUAL,CANCELADA,49,32
Argentina,2023-07,MANUAL,CONCLUIDA,199,147
Argentina,2023-07,SIN_TIPO,CANCELADA,84,60
Argentina,2023-07,SIN_TIPO,CONCLUIDA,3,3
Argentina,2023-08,ANCLAJE,CANCELADA,2,2
Argentina,2023-08,APP,CANCELADA,11,8
Argentina,2023-08,APP,CONCLUIDA,9,7
Argentina,2023-08,MANUAL,CANCELADA,50,32
Argentina,2023-08,MANUAL,CONCLUIDA,255,212
Argentina,2023-08,SIN_TIPO,CANCELADA,120,91
Argentina,2023-08,SIN_TIPO,CONCLUIDA,19,19
Argentina,2023-09,ANCLAJE,CANCELADA,1,1
Argentina,2023-09,ANCLAJE,CONCLUIDA,2,2
Argentina,2023-09,APP,CANCELADA,13,9
Argentina,2023-09,APP,CONCLUIDA,11,7
Argentina,2023-09,MANUAL,CANCELADA,71,35
Argentina,2023-09,MANUAL,CONCLUIDA,185,151
Argentina,2023-09,SIN_TIPO,CANCELADA,129,77
Argentina,2023-09,SIN_TIPO,CONCLUIDA,9,9
Argentina,2023-10,ANCLAJE,CANCELADA,57,15
Argentina,2023-10,ANCLAJE,CONCLUIDA,35,32
Argentina,2023-10,APP,CANCELADA,144,36
Argentina,2023-10,APP,CONCLUIDA,13,8
Argentina,2023-10,MANUAL,CANCELADA,57,20
Argentina,2023-10,MANUAL,CONCLUIDA,151,124
Argentina,2023-10,SIN_TIPO,CANCELADA,132,71
Argentina,2023-10,SIN_TIPO,CONCLUIDA,2,2
Argentina,2023-11,ANCLAJE,CANCELADA,30,16
Argentina,2023-11,ANCLAJE,CONCLUIDA,61,55
Argentina,2023-11,APP,CANCELADA,17,8
Argentina,2023-11,APP,CONCLUIDA,2,1
Argentina,2023-11,MANUAL,CANCELADA,464,404
Argentina,2023-11,MANUAL,CONCLUIDA,2397,2316
Argentina,2023-11,SIN_TIPO,CANCELADA,571,512
Argentina,2023-11,SIN_TIPO,CONCLUIDA,3,3
Argentina,2023-12,ANCLAJE,CANCELADA,111,34
Argentina,2023-12,ANCLAJE,CONCLUIDA,57,49
Argentina,2023-12,APP,CANCELADA,5,3
Argentina,2023-12,MANUAL,CANCELADA,640,532
Argentina,2023-12,MANUAL,CONCLUIDA,2000,1957
Argentina,2023-12,SIN_TIPO,CANCELADA,444,406
Argentina,2024-01,ANCLAJE,CANCELADA,28,14
Argentina,2024-01,ANCLAJE,CONCLUIDA,38,36
Argentina,2024-01,MANUAL,CANCELADA,397,356
Argentina,2024-01,MANUAL,CONCLUIDA,2063,2032
Argentina,2024-01,SIN_TIPO,CANCELADA,453,427
Argentina,2024-01,SIN_TIPO,CONCLUIDA,1,1
Argentina,2024-02,ANCLAJE,CANCELADA,14,9
Argentina,2024-02,ANCLAJE,CONCLUIDA,43,41
Argentina,2024-02,MANUAL,CANCELADA,257,230
Argentina,2024-02,MANUAL,CONCLUIDA,1801,1770
Argentina,2024-02,SIN_TIPO,CANCELADA,381,366
Argentina,2024-02,SIN_TIPO,CONCLUIDA,1,1
Argentina,2024-03,ANCLAJE,CANCELADA,25,15
Argentina,2024-03,ANCLAJE,CONCLUIDA,98,98
Argentina,2024-03,MANUAL,CANCELADA,219,189
Argentina,2024-03,MANUAL,CONCLUIDA,1783,1738
Argentina,2024-03,SIN_TIPO,CANCELADA,286,269
Argentina,2024-03,SIN_TIPO,CONCLUIDA,8,8
Argentina,2024-04,ANCLAJE,CANCELADA,4,4
Argentina,2024-04,ANCLAJE,CONCLUIDA,53,51
Argentina,2024-04,ANCLAJE APP,CANCELADA,21,14
Argentina,2024-04,ANCLAJE APP,CONCLUIDA,98,97
Argentina,2024-04,ANCLAJE BASE,CANCELADA,31,26
Argentina,2024-04,ANCLAJE BASE,CONCLUIDA,220,216
Argentina,2024-04,APP,CANCELADA,6,5
Argentina,2024-04,APP,CONCLUIDA,2,1
Argentina,2024-04,MANUAL,CANCELADA,139,120
Argentina,2024-04,MANUAL,CONCLUIDA,1423,1410
Argentina,2024-04,SIN_TIPO,CANCELADA,262,234
Argentina,2024-04,SIN_TIPO,CONCLUIDA,2,2
Argentina,2024-05,ANCLAJE APP,CANCELADA,4,4
Argentina,2024-05,ANCLAJE APP,CONCLUIDA,97,92
Argentina,2024-05,ANCLAJE BASE,CANCELADA,35,34
Argentina,2024-05,ANCLAJE BASE,CONCLUIDA,596,590
Argentina,2024-05,MANUAL,CANCELADA,55,51
Argentina,2024-05,MANUAL,CONCLUIDA,621,603
Argentina,2024-05,SIN_TIPO,CANCELADA,149,142
Argentina,2024-05,SIN_TIPO,CONCLUIDA,1,1
Argentina,2024-06,ANCLAJE APP,CANCELADA,11,6
Argentina,2024-06,ANCLAJE APP,CONCLUIDA,58,58
Argentina,2024-06,ANCLAJE BASE,CANCELADA,27,26
Argentina,2024-06,ANCLAJE BASE,CONCLUIDA,514,509
Argentina,2024-06,MANUAL,CANCELADA,44,32
Argentina,2024-06,MANUAL,CONCLUIDA,465,461
Argentina,2024-06,SIN_TIPO,CANCELADA,114,112
Argentina,2024-07,ANCLAJE APP,CANCELADA,14,14
Argentina,2024-07,ANCLAJE APP,CONCLUIDA,151,150
Argentina,2024-07,ANCLAJE APP SOA,CANCELADA,5,5
Argentina,2024-07,ANCLAJE APP SOA,CONCLUIDA,9,9
Argentina,2024-07,ANCLAJE BASE,CANCELADA,31,31
Argentina,2024-07,ANCLAJE BASE,CONCLUIDA,595,585
Argentina,2024-07,APP,CANCELADA,3,1
Argentina,2024-07,MANUAL,CANCELADA,27,27
Argentina,2024-07,MANUAL,CONCLUIDA,539,527
Argentina,2024-07,SIN_TIPO,CANCELADA,176,167
Argentina,2024-08,ANCLAJE APP SOA,CANCELADA,28,9
Argentina,2024-08,ANCLAJE APP SOA,CONCLUIDA,74,74
Argentina,2024-08,ANCLAJE BASE,CANCELADA,36,32
Argentina,2024-08,ANCLAJE BASE,CONCLUIDA,590,580
Argentina,2024-08,APP,CANCELADA,1,1
Argentina,2024-08,MANUAL,CANCELADA,42,27
Argentina,2024-08,MANUAL,CONCLUIDA,467,462
Argentina,2024-08,SIN_TIPO,CANCELADA,153,148
Argentina,2024-09,ANCLAJE APP SOA,CANCELADA,24,23
Argentina,2024-09,ANCLAJE APP SOA,CONCLUIDA,346,342
