nodo,pais_asistencia,mes,estado,servicios,expedientes
Argentina,Argentina,2023-07,CANCELADA,59,41
Argentina,Argentina,2023-07,CONCLUIDA,128,84
Argentina,Argentina,2023-08,CANCELADA,14,12
Argentina,Argentina,2023-08,CONCLUIDA,21,19
Argentina,Argentina,2023-09,CANCELADA,91,51
Argentina,Argentina,2023-09,CONCLUIDA,93,68
Argentina,Argentina,2023-10,CANCELADA,389,117
Argentina,Argentina,2023-10,CONCLUIDA,197,160
Argentina,Argentina,2023-11,CANCELADA,832,700
Argentina,Argentina,2023-11,CONCLUIDA,1874,1818
Argentina,Argentina,2023-12,CANCELADA,1150,892
Argentina,Argentina,2023-12,CONCLUIDA,1978,1934
Argentina,Argentina,2024-01,CANCELADA,845,757
Argentina,Argentina,2024-01,CONCLUIDA,2031,1998
Argentina,Argentina,2024-02,CANCELADA,639,576
Argentina,Argentina,2024-02,CONCLUIDA,1761,1724
Argentina,Argentina,2024-03,CANCELADA,528,456
Argentina,Argentina,2024-03,CONCLUIDA,1886,1840
Argentina,Argentina,2024-04,CANCELADA,463,381
Argentina,Argentina,2024-04,CONCLUIDA,1798,1774
Argentina,Argentina,2024-05,CANCELADA,243,226
Argentina,Argentina,2024-05,CONCLUIDA,1315,1285
Argentina,Argentina,2024-06,CANCELADA,196,171
Argentina,Argentina,2024-06,CONCLUIDA,1037,1025
Argentina,Argentina,2024-07,CANCELADA,256,242
Argentina,Argentina,2024-07,CONCLUIDA,1293,1264
Argentina,Argentina,2024-08,CANCELADA,260,212
Argentina,Argentina,2024-08,CONCLUIDA,1131,1111
Argentina,Argentina,2024-09,CANCELADA,230,213
Argentina,Argentina,2024-09,CONCLUIDA,1101,1083
Argentina,Argentina,2024-10,CANCELADA,239,225
Argentina,Argentina,2024-10,CONCLUIDA,1103,1078
Argentina,Argentina,2024-11,CANCELADA,496,482
Argentina,Argentina,2024-11,CONCLUIDA,1103,1068
Argentina,Argentina,2024-12,CANCELADA,741,722
Argentina,Argentina,2024-12,CONCLUIDA,1183,1149
Argentina,Argentina,2025-01,CANCELADA,777,730
Argentina,Argentina,2025-01,CONCLUIDA,1414,1388
Argentina,Argentina,2025-02,CANCELADA,865,826
Argentina,Argentina,2025-02,CONCLUIDA,1359,1322
Argentina,Argentina,2025-03,CANCELADA,1032,950
Argentina,Argentina,2025-03,CONCLUIDA,1591,1553
Argentina,Argentina,2025-04,CANCELADA,660,611
Argentina,Argentina,2025-04,CONCLUIDA,1591,1555
Argentina,Argentina,2025-05,CANCELADA,31,30
Argentina,Argentina,2025-05,CONCLUIDA,113,111
Argentina,Argentina,2025-06,CANCELADA,22,20
Argentina,Argentina,2025-06,CONCLUIDA,48,47
Argentina,Argentina,2025-07,CANCELADA,4,4
Argentina,Argentina,2025-07,CONCLUIDA,12,12
Argentina,Argentina,2025-08,CONCLUIDA,5,5
Argentina,Argentina,2025-09,CANCELADA,1,1
Argentina,Argentina,2025-10,CANCELADA,16,2
Argentina,Argentina,2025-10,CONCLUIDA,2,2
Argentina,Bolivia,2023-11,CANCELADA,159,135
Argentina,Bolivia,2023-11,CONCLUIDA,822,756
Argentina,Bolivia,2023-12,CANCELADA,195,168
Argentina,Bolivia,2023-12,CONCLUIDA,1160,1045
Argentina,Bolivia,2024-01,CANCELADA,424,337
